Sample ID	Date	Time	Analyte Name	Int (Corr)	Conc (Calib)	Calib Units	RSD (Conc)	Repl No1	Date1	Time1	Int (Net)1	Int (Corr)1	Conc (Calib)1	Repl No2	Date2	Time2	Int (Net)2	Int (Corr)2	Conc (Calib)2	Repl No3	Date3	Time3	Int (Net)3	Int (Corr)3	Conc (Calib)3
AH1UA	12/31/2021	11:34:11 AM	Al 396.153	957.2471961	0.078460261	mg/L	1.406377704	1	12/31/2021	11:35:08 AM	974.2547587	964.5515748	0.078800442	2	12/31/2021	11:35:19 AM	986.1313506	976.4281666	0.079353563	3	12/31/2021	11:35:31 AM	940.4650307	930.7618468	0.077226777
AH20	12/31/2021	10:28:20 AM	Fe 238.204	932.6176608	0.000192553	mg/L	67.67296537	1	12/31/2021	10:29:18 AM	909.3042495	945.2059054	0.000272235	2	12/31/2021	10:29:25 AM	907.8840145	943.7856703	0.000263245	3	12/31/2021	10:29:32 AM	872.9597511	908.8614069	4.22E-05
AH20	12/31/2021	10:28:20 AM	Ca 317.933	641.8810382	0.033232678	mg/L	0.25645395	1	12/31/2021	10:28:57 AM	661.9131518	643.8772085	0.033327946	2	12/31/2021	10:29:03 AM	658.4712394	640.4352961	0.033163678	3	12/31/2021	10:29:09 AM	659.3665533	641.33061	0.033206408
AH20	12/31/2021	10:28:20 AM	Mg 285.213	581.6611608	-0.008121118	mg/L	0.637189803	1	12/31/2021	10:28:57 AM	598.7268326	582.1103092	-0.008115793	2	12/31/2021	10:29:03 AM	593.7062531	577.0897297	-0.008175322	3	12/31/2021	10:29:09 AM	602.3999669	585.7834434	-0.00807224
AH20	12/31/2021	10:28:20 AM	Al 396.153	12583.31023	0.619912699	mg/L	0.583889017	1	12/31/2021	10:29:12 AM	12624.88148	12615.17829	0.621396868	2	12/31/2021	10:29:19 AM	12504.42451	12494.72133	0.615786911	3	12/31/2021	10:29:26 AM	12649.73424	12640.03106	0.622554319
AH20A	12/31/2021	11:32:35 AM	Fe 238.204	79.29971252	-0.005208878	mg/L	2.580800668	1	12/31/2021	11:33:32 AM	60.86390986	96.76556568	-0.005098321	2	12/31/2021	11:33:38 AM	49.5726389	85.47429472	-0.005169794	3	12/31/2021	11:33:45 AM	19.75762134	55.65927716	-0.00535852
AH20A	12/31/2021	11:32:35 AM	Ca 317.933	380.1175641	0.020739812	mg/L	6.422350816	1	12/31/2021	11:33:12 AM	430.1841321	412.1481888	0.022268499	2	12/31/2021	11:33:18 AM	385.2118286	367.1758853	0.020122161	3	12/31/2021	11:33:25 AM	379.0645615	361.0286182	0.019828778
AH20A	12/31/2021	11:32:35 AM	Mg 285.213	431.0444083	-0.009906992	mg/L	1.027315606	1	12/31/2021	11:33:12 AM	457.248942	440.6324186	-0.009793306	2	12/31/2021	11:33:18 AM	440.6919979	424.0754744	-0.009989623	3	12/31/2021	11:33:25 AM	445.0418553	428.4253318	-0.009938046
AH20A	12/31/2021	11:32:35 AM	Al 396.153	17497.63633	0.848784145	mg/L	1.03732354	1	12/31/2021	11:33:27 AM	17476.41189	17466.7087	0.847343774	2	12/31/2021	11:33:33 AM	17335.65714	17325.95396	0.840788503	3	12/31/2021	11:33:40 AM	17709.94951	17700.24633	0.858220158
AH20U	12/31/2021	10:42:33 AM	Fe 238.204	696.5767208	-0.001301567	mg/L	8.142202874	1	12/31/2021	10:43:28 AM	641.4164725	677.3181284	-0.001423472	2	12/31/2021	10:43:35 AM	671.7632643	707.6649201	-0.001231379	3	12/31/2021	10:43:43 AM	668.8454581	704.7471139	-0.001249849
AH20U	12/31/2021	10:42:33 AM	Ca 317.933	512.5443522	0.027059984	mg/L	3.6222118	1	12/31/2021	10:43:09 AM	554.0899715	536.0540282	0.028182001	2	12/31/2021	10:43:14 AM	521.5202293	503.484286	0.026627585	3	12/31/2021	10:43:19 AM	516.1306857	498.0947424	0.026370365
AH20U	12/31/2021	10:42:33 AM	Mg 285.213	406.2371409	-0.010201133	mg/L	2.597533617	1	12/31/2021	10:43:09 AM	448.5659904	431.9494669	-0.00989626	2	12/31/2021	10:43:14 AM	408.1066428	391.4901194	-0.01037599	3	12/31/2021	10:43:19 AM	411.8883599	395.2718364	-0.01033115
AH20U	12/31/2021	10:42:33 AM	Al 396.153	12194.87346	0.601822308	mg/L	0.305544855	1	12/31/2021	10:43:22 AM	12218.04193	12208.33874	0.602449417	2	12/31/2021	10:43:29 AM	12160.12184	12150.41866	0.599751946	3	12/31/2021	10:43:37 AM	12235.56616	12225.86297	0.60326556
AH20UA	12/31/2021	11:41:25 AM	Fe 238.204	93.74675277	-0.00511743	mg/L	3.938576231	1	12/31/2021	11:42:22 AM	94.42474781	130.3264036	-0.004885884	2	12/31/2021	11:42:28 AM	42.76874501	78.67040082	-0.005212862	3	12/31/2021	11:42:34 AM	36.34179803	72.24345385	-0.005253544
AH20UA	12/31/2021	11:41:25 AM	Ca 317.933	470.3668633	0.02504703	mg/L	5.063369293	1	12/31/2021	11:42:02 AM	489.2693369	471.2333935	0.025088386	2	12/31/2021	11:42:08 AM	514.5320809	496.4961376	0.02629407	3	12/31/2021	11:42:14 AM	461.407002	443.3710587	0.023758635
AH20UA	12/31/2021	11:41:25 AM	Mg 285.213	455.1972313	-0.00962061	mg/L	0.490862398	1	12/31/2021	11:42:02 AM	471.5975651	454.9810417	-0.009623173	2	12/31/2021	11:42:08 AM	467.9434854	451.326962	-0.0096665	3	12/31/2021	11:42:14 AM	475.9002137	459.2836903	-0.009572157
AH20UA	12/31/2021	11:41:25 AM	Al 396.153	25465.16002	1.219850009	mg/L	0.413223895	1	12/31/2021	11:42:17 AM	25570.33469	25560.63151	1.224296336	2	12/31/2021	11:42:23 AM	25357.28104	25347.57785	1.214373938	3	12/31/2021	11:42:29 AM	25496.97387	25487.27069	1.220879754
AH3	12/31/2021	10:23:43 AM	Fe 238.204	1074.83205	0.001092758	mg/L	7.986751248	1	12/31/2021	10:24:40 AM	1026.033682	1061.935338	0.001011123	2	12/31/2021	10:24:47 AM	1037.294161	1073.195817	0.001082401	3	12/31/2021	10:24:53 AM	1053.463341	1089.364996	0.00118475
AH3	12/31/2021	10:23:43 AM	Ca 317.933	575.2375666	0.030052066	mg/L	1.081928632	1	12/31/2021	10:24:20 AM	585.6221732	567.5862299	0.0296869	2	12/31/2021	10:24:26 AM	598.6821539	580.6462106	0.030310198	3	12/31/2021	10:24:32 AM	595.5162026	577.4802593	0.0301591
AH3	12/31/2021	10:23:43 AM	Mg 285.213	618.6344935	-0.007682723	mg/L	1.96544085	1	12/31/2021	10:24:20 AM	646.3733136	629.7567901	-0.007550845	2	12/31/2021	10:24:26 AM	638.0205451	621.4040216	-0.007649884	3	12/31/2021	10:24:32 AM	621.3591923	604.7426688	-0.007847439
AH3	12/31/2021	10:23:43 AM	Al 396.153	2455.169939	0.148221961	mg/L	0.123337281	1	12/31/2021	10:24:40 AM	2462.725968	2453.022784	0.148121963	2	12/31/2021	10:24:47 AM	2469.403684	2459.7005	0.148432959	3	12/31/2021	10:24:53 AM	2462.489718	2452.786534	0.14811096
AH3A	12/31/2021	11:27:26 AM	Fe 238.204	140.9672198	-0.004818528	mg/L	4.582146263	1	12/31/2021	11:28:28 AM	139.2430602	175.144716	-0.004602187	2	12/31/2021	11:28:39 AM	106.4318528	142.3335086	-0.00480988	3	12/31/2021	11:28:50 AM	69.52177911	105.4234349	-0.005043517
AH3A	12/31/2021	11:27:26 AM	Ca 317.933	712.929881	0.036623539	mg/L	5.76516914	1	12/31/2021	11:28:03 AM	687.4976036	669.4616603	0.034548984	2	12/31/2021	11:28:09 AM	729.459859	711.4239157	0.036551665	3	12/31/2021	11:28:15 AM	775.9400105	757.9040672	0.038769967
AH3A	12/31/2021	11:27:26 AM	Mg 285.213	688.9626386	-0.006848837	mg/L	3.678908847	1	12/31/2021	11:28:03 AM	685.7908228	669.1742993	-0.007083469	2	12/31/2021	11:28:09 AM	702.9083964	686.2918729	-0.006880504	3	12/31/2021	11:28:15 AM	728.0382671	711.4217436	-0.006582538
